dataset_id,pid
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2006-r14i1p1f1.Amon.pr.gn.v20220126,hdl:21.14100/d314243b-0560-36d4-a050-3fe10f826a9c
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1976-r7i1p1f1.day.tasmin.gn.v20220126,hdl:21.14100/161a0f57-411c-3a2e-aada-d92049916ffc
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1976-r7i1p1f1.day.tasmax.gn.v20220126,hdl:21.14100/3fc28918-17e2-3322-b0a9-c93651121825
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1976-r7i1p1f1.Amon.tas.gn.v20220126,hdl:21.14100/985468cb-1705-3ed0-b845-80c733fd9e7c
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1976-r7i1p1f1.Amon.psl.gn.v20220126,hdl:21.14100/f75e4685-72fd-3d73-8f47-9b54e5df1d4b
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1976-r7i1p1f1.Amon.pr.gn.v20220126,hdl:21.14100/66743b37-85c1-3b05-b191-75b89477971d
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2002-r10i1p1f1.day.tasmin.gn.v20220126,hdl:21.14100/fd45306b-ee3f-306f-a6fd-1e579725b356
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2002-r10i1p1f1.day.tasmax.gn.v20220126,hdl:21.14100/4d755097-ea54-3b3b-9655-8fcfba37cebf
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2002-r10i1p1f1.Amon.tas.gn.v20220126,hdl:21.14100/c08bc931-8c29-3e3c-85b2-af9d5511438d
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2002-r10i1p1f1.Amon.psl.gn.v20220126,hdl:21.14100/e59c655d-6a8d-36cc-a864-3ce6b11088b3
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2002-r10i1p1f1.Amon.pr.gn.v20220126,hdl:21.14100/8f40cf02-e01a-34a8-a3d8-4ac43431b21e
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2018-r7i1p1f1.day.tasmin.gn.v20220126,hdl:21.14100/98f76e5c-d3a4-318f-9e90-9a95d02a99ff
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2018-r7i1p1f1.day.tasmax.gn.v20220126,hdl:21.14100/77417a19-470a-3270-b542-027c8b82cb08
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2018-r7i1p1f1.Amon.tas.gn.v20220126,hdl:21.14100/d0ae472d-adec-3fac-a648-8615527be529
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2018-r7i1p1f1.Amon.psl.gn.v20220126,hdl:21.14100/e0e19fc4-4e8c-3b60-8914-408f092c44d8
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2018-r7i1p1f1.Amon.pr.gn.v20220126,hdl:21.14100/3aa9604a-7078-3f64-bf15-774a9c6e63eb
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1999-r13i1p1f1.day.tasmin.gn.v20220126,hdl:21.14100/2b626aa5-9845-3deb-997e-bbb1de55cb69
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1999-r13i1p1f1.day.tasmax.gn.v20220126,hdl:21.14100/e6986794-fcef-37f2-aead-3d520ba39553
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1999-r13i1p1f1.Amon.tas.gn.v20220126,hdl:21.14100/d608d2ce-2ff7-3c27-bcab-533bedbf5974
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1999-r13i1p1f1.Amon.psl.gn.v20220126,hdl:21.14100/5ea0468d-3845-360e-826f-20e560be8169
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1999-r13i1p1f1.Amon.pr.gn.v20220126,hdl:21.14100/acf277e3-88e5-3932-9502-317c9de9bf78
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1968-r12i1p1f1.day.tasmin.gn.v20220126,hdl:21.14100/57e07797-86d5-307f-b275-1ba2c1062ad1
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1968-r12i1p1f1.day.tasmax.gn.v20220126,hdl:21.14100/b5b801ec-2c50-33e6-b1ad-44f0196cc050
